ksize,sigma,PSNR (dB),SSIM,EPI,time (ms)
3,0.5,28.3304,0.6002,0.3017,0.3133
3,1.0,31.7432,0.7926,0.4095,0.2939
3,1.5,31.687,0.7965,0.3214,0.2725
3,2.0,31.6132,0.7948,0.2814,0.254
3,3.0,31.5497,0.7928,0.254,0.2866
5,0.5,28.3304,0.6002,0.3017,0.2826
5,1.0,32.0307,0.8271,0.4426,0.3109
5,1.5,31.4134,0.8349,0.3165,0.3025
5,2.0,30.9724,0.8258,0.2038,0.3699
5,3.0,30.557,0.8131,0.1078,0.2722
7,0.5,28.3304,0.6002,0.3017,0.4353
7,1.0,32.0191,0.8293,0.4414,0.3691
7,1.5,31.0506,0.836,0.354,0.4003
7,2.0,30.1306,0.8165,0.2435,0.3411
7,3.0,29.3238,0.7902,0.1075,0.3833
9,0.5,28.3304,0.6002,0.3017,0.4202
9,1.0,32.0191,0.8293,0.4414,0.4556
9,1.5,30.9371,0.8349,0.3475,0.4305
9,2.0,29.7211,0.8086,0.2389,0.3975
9,3.0,28.504,0.7687,0.1263,0.351
11,0.5,28.3304,0.6002,0.3017,0.4061
11,1.0,32.0191,0.8293,0.4414,0.389
11,1.5,30.9371,0.8349,0.3475,0.3978
11,2.0,29.6009,0.8069,0.2529,0.4819
11,3.0,27.9968,0.7555,0.1011,0.5139
15,0.5,28.3304,0.6002,0.3017,0.6672
15,1.0,32.0191,0.8293,0.4414,0.6035
15,1.5,30.9371,0.8349,0.3475,0.5936
15,2.0,29.5776,0.8075,0.2529,0.6192
15,3.0,27.5491,0.748,0.1092,0.6003
